datetime,tweet_text,clean_text_nlp,categories,is_noise,Market_Impact
2025-01-03 00:33:40+00:00,"I am pleased to announce that Joe Popolo will serve as the next United States Ambassador to the Netherlands.\n \nJoe is a successful businessman and philanthropist across many different sectors. For over 20 years, he helped transform the Freeman Company into the World’s leading live event brand experience company. He currently serves as Founder and CEO of Charles & Potomac Capital, LLC, the Chairman of the Board of Pinnacle Live, LLC, and, as a Board Member of Ondas Holdings. Joe is an E&Y Entrepreneur of the Year Award winner, and also a recipient of the Dallas Business Journal’s Most Admired CEO Award. He is a proud graduate of Boston College, a member of their Board of Regents, and also, a Patron of the Arts in the Vatican Museum.\n \nCongratulations Joe!","I am pleased to announce that Joe Popolo will serve as the next United States Ambassador to the Netherlands.n nJoe is a successful businessman and philanthropist across many different sectors. For over 20 years, he helped transform the Freeman Company into the Worlds leading live event brand experience company. He currently serves as Founder and CEO of Charles  Potomac Capital, LLC, the Chairman of the Board of Pinnacle Live, LLC, and, as a Board Member of Ondas Holdings. Joe is an EY Entrepreneur of the Year Award winner, and also a recipient of the Dallas Business Journals Most Admired CEO Award. He is a proud graduate of Boston College, a member of their Board of Regents, and also, a Patron of the Arts in the Vatican Museum.n nCongratulations Joe!",OTHER,1,0.6243843052457398
2025-01-03 00:33:45+00:00,"I am pleased to announce that Benjamin Leon Jr. will serve as the next United States Ambassador to Spain.\n \nBenjamin is a highly successful entrepreneur, equestrian, and philanthropist. He came to the U.S. from Communist Cuba at 16-years-old, with only Five Dollars in his pocket, and proceeded to build his company, Leon Medical Centers, into an incredible business. He has helped support many worthy causes, like La Liga Contra el Cancer, and important Medical Research at Johns Hopkins and Dana-Farber Cancer Institute.\n \nBenjamin has also invested in training our future doctors and nurses by supporting Miami-Dade College’s Benjamin Leon Jr. School of Nursing, and the Benjamin Leon Center for Geriatric Research and Education at Florida International University’s Herbert Wertheim College of Medicine.\n \nCongratulations Benjamin!","I am pleased to announce that Benjamin Leon Jr. will serve as the next United States Ambassador to Spain.n nBenjamin is a highly successful entrepreneur, equestrian, and philanthropist. He came to the U.S. from Communist Cuba at 16yearsold, with only Five Dollars in his pocket, and proceeded to build his company, Leon Medical Centers, into an incredible business. He has helped support many worthy causes, like La Liga Contra el Cancer, and important Medical Research at Johns Hopkins and DanaFarber Cancer Institute.n nBenjamin has also invested in training our future doctors and nurses by supporting MiamiDade Colleges Benjamin Leon Jr. School of Nursing, and the Benjamin Leon Center for Geriatric Research and Education at Florida International Universitys Herbert Wertheim College of Medicine.n nCongratulations Benjamin!",OTHER,1,0.6243843052457398
2025-01-03 00:34:41+00:00,….Cora Alvi will serve as Deputy Chief of Staff. Cora most recently worked as the National Deputy Finance Director for Donald J. Trump for President Inc. \n \nCongratulations to all!,.Cora Alvi will serve as Deputy Chief of Staff. Cora most recently worked as the National Deputy Finance Director for Donald J. Trump for President Inc. n nCongratulations to all!,OTHER,1,0.6243843052457398
2025-01-03 00:34:53+00:00,"I am pleased to announce the amazing Team that will be working in conjunction with our United States Secretary of the Treasury Nominee, Scott Bessent. All of them are incredible, hardworking Patriots, who will work tirelessly to, MAKE AMERICA GREAT AGAIN:\n \nKen Kies will be Assistant Secretary for Tax Policy. Ken has been a tax lawyer for 47 years, and has served as the Chief of Staff of the Joint Committee on Taxation, and the Chief Republican Tax Counsel of the House Ways and Means Committee. Alexandra Preate will be the Senior Counselor to the Secretary. Alexandra is an accomplished executive in public relations, and has worked closely with former Director of the National Economic Council, Larry Kudlow, as well as my long-time economic advisors, Dr. Arthur B. Laffer and Stephen Moore. Hunter McMaster will serve as Director of Policy Planning. He is one of the leading macro traders in the business.\n Daniel Katz will serve as Chief of Staff. Dan is a Senior Fellow at the Manhattan Institute, and a graduate of Yale. During my First Term, Dan served as a Senior Advisor at the Treasury Department. Samantha Schwab will serve as Deputy Chief of Staff. Samantha joins the Treasury Department from the personnel team of the Trump-Vance Transition. In my First Term, Samantha served in the White House Office of Legislative Affairs…","I am pleased to announce the amazing Team that will be working in conjunction with our United States Secretary of the Treasury Nominee, Scott Bessent. All of them are incredible, hardworking Patriots, who will work tirelessly to, MAKE AMERICA GREAT AGAINn nKen Kies will be Assistant Secretary for Tax Policy. Ken has been a tax lawyer for 47 years, and has served as the Chief of Staff of the Joint Committee on Taxation, and the Chief Republican Tax Counsel of the House Ways and Means Committee. Alexandra Preate will be the Senior Counselor to the Secretary. Alexandra is an accomplished executive in public relations, and has worked closely with former Director of the National Economic Council, Larry Kudlow, as well as my longtime economic advisors, Dr. Arthur B. Laffer and Stephen Moore. Hunter McMaster will serve as Director of Policy Planning. He is one of the leading macro traders in the business.n Daniel Katz will serve as Chief of Staff. Dan is a Senior Fellow at the Manhattan Institute, and a graduate of Yale. During my First Term, Dan served as a Senior Advisor at the Treasury Department. Samantha Schwab will serve as Deputy Chief of Staff. Samantha joins the Treasury Department from the personnel team of the TrumpVance Transition. In my First Term, Samantha served in the White House Office of Legislative Affairs",OTHER,1,0.6243843052457398
2025-01-03 05:15:27+00:00,Why would I want to get rid of TikTok?,Why would I want to get rid of TikTok?,OTHER,1,0.6243843052457398
2025-01-03 13:18:05+00:00,"Good luck today for Speaker Mike Johnson, a fine man of great ability, who is very close to having 100% support. A win for Mike today will be a big win for the Republican Party, and yet another acknowledgment of our 129 year most consequential Presidential Election!! - A BIG AFFIRMATION, INDEED. MAGA!","Good luck today for Speaker Mike Johnson, a fine man of great ability, who is very close to having 100 support. A win for Mike today will be a big win for the Republican Party, and yet another acknowledgment of our 129 year most consequential Presidential Election!!  A BIG AFFIRMATION, INDEED. MAGA!",OTHER,1,0.6243843052457398
2025-01-03 13:18:57+00:00,MAKE AMERICA GREAT AGAIN!!!,MAKE AMERICA GREAT AGAIN!!!,OTHER,1,0.6243843052457398
2025-01-03 18:25:12+00:00,"Biden gave Liz Cheney a Medal yesterday, even though she has proven to be totally corrupt. She, “Bennie” Thompson, and the rest of the Unselect Committee, destroyed and deleted all evidence from their crooked investigation of January 6th. Cheney has the distinction of losing her Congressional seat by the largest margin in History! The people of Wyoming understood how bad for our Country she was, but Biden rewarded her only because she hated “TRUMP.” She’s a Warmonger of low intelligence. All she wants to do is kill people in “Endless Wars,” with no gain other than to defense companies. Liz Cheney, Cryin’ Adam Kinzinger, Bennie Thompson, and the rest of these dishonest Thugs have gotten away with horrible things under the pretense of January 6th. Nancy Pelosi refused to accept the help which was offered for security. She is responsible, and admitted as much, for all to see, on her daughter’s tape. They have destroyed the lives of many people, and are rewarded by getting Biden Fake Medals. This is not America. January 20th cannot come fast enough. MAKE AMERICA GREAT AGAIN!","Biden gave Liz Cheney a Medal yesterday, even though she has proven to be totally corrupt. She, Bennie Thompson, and the rest of the Unselect Committee, destroyed and deleted all evidence from their crooked investigation of January 6th. Cheney has the distinction of losing her Congressional seat by the largest margin in History! The people of Wyoming understood how bad for our Country she was, but Biden rewarded her only because she hated TRUMP. Shes a Warmonger of low intelligence. All she wants to do is kill people in Endless Wars, with no gain other than to defense companies. Liz Cheney, Cryin Adam Kinzinger, Bennie Thompson, and the rest of these dishonest Thugs have gotten away with horrible things under the pretense of January 6th. Nancy Pelosi refused to accept the help which was offered for security. She is responsible, and admitted as much, for all to see, on her daughters tape. They have destroyed the lives of many people, and are rewarded by getting Biden Fake Medals. This is not America. January 20th cannot come fast enough. MAKE AMERICA GREAT AGAIN!",OTHER,1,0.10227989649009839
2025-01-03 18:31:07+00:00,"The Democrats are all “giddy” about our magnificent American Flag potentially being at “half mast” during my Inauguration. They think it’s so great, and are so happy about it because, in actuality, they don’t love our Country, they only think about themselves. Look at what they’ve done to our once GREAT America over the past four years - It’s a total mess! In any event, because of the death of President Jimmy Carter, the Flag may, for the first time ever during an Inauguration of a future President, be at half mast. Nobody wants to see this, and no American can be happy about it. Let’s see how it plays out. MAKE AMERICA GREAT AGAIN!","The Democrats are all giddy about our magnificent American Flag potentially being at half mast during my Inauguration. They think its so great, and are so happy about it because, in actuality, they dont love our Country, they only think about themselves. Look at what theyve done to our once GREAT America over the past four years  Its a total mess! In any event, because of the death of President Jimmy Carter, the Flag may, for the first time ever during an Inauguration of a future President, be at half mast. Nobody wants to see this, and no American can be happy about it. Lets see how it plays out. MAKE AMERICA GREAT AGAIN!",OTHER,1,-0.0287084811966154
2025-01-03 19:59:24+00:00,"Congratulations to Speaker Mike Johnson for receiving an unprecedented Vote of Confidence in Congress. Mike will be a Great Speaker, and our Country will be the beneficiary. The People of America have waited four years for Common Sense, Strength, and Leadership. They’ll get it now, and America will be greater than ever before!","Congratulations to Speaker Mike Johnson for receiving an unprecedented Vote of Confidence in Congress. Mike will be a Great Speaker, and our Country will be the beneficiary. The People of America have waited four years for Common Sense, Strength, and Leadership. Theyll get it now, and America will be greater than ever before!",OTHER,1,-0.01182696012788087
